월,일,요일,시간,구장,홈팀,홈점수,원정점수,원정팀,홈팀승리
05,22,목,18:30,고척,삼성,2.0,0.0,키움,1.0
05,22,목,18:30,울산,한화,3.0,4.0,NC,-1.0
05,23,금,18:30,잠실,NC,1.0,1.0,두산,0.0
05,23,금,18:30,문학,LG,3.0,2.0,SSG,1.0
05,23,금,18:30,대구,KIA,7.0,6.0,삼성,1.0
05,23,금,18:30,고척,KT,7.0,5.0,키움,1.0
05,23,금,18:30,대전(신),롯데,2.0,4.0,한화,-1.0
05,24,토,14:00,고척,KT,10.0,4.0,키움,1.0
05,24,토,14:00,대전(신),롯데,8.0,6.0,한화,1.0
05,24,토,17:00,잠실,NC,5.0,1.0,두산,1.0
05,24,토,17:00,문학,LG,4.0,5.0,SSG,-1.0
05,24,토,17:00,대구,KIA,4.0,8.0,삼성,-1.0
05,25,일,14:00,잠실,NC,3.0,5.0,두산,-1.0
05,25,일,14:00,문학,LG,9.0,3.0,SSG,1.0
05,25,일,14:00,대구,KIA,2.0,3.0,삼성,-1.0
05,25,일,14:00,고척,KT,2.0,0.0,키움,1.0
05,25,일,14:00,대전(신),롯데,7.0,8.0,한화,-1.0
05,27,화,18:30,잠실,한화,1.0,2.0,LG,-1.0
05,27,화,18:30,문학,NC,1.0,1.0,SSG,0.0
05,27,화,18:30,대구,롯데,3.0,7.0,삼성,-1.0
05,27,화,18:30,수원,두산,1.0,2.0,KT,-1.0
05,27,화,18:30,광주,키움,5.0,7.0,KIA,-1.0
05,28,수,18:30,잠실,한화,6.0,5.0,LG,1.0
05,28,수,18:30,문학,NC,5.0,13.0,SSG,-1.0
05,28,수,18:30,수원,두산,12.0,3.0,KT,1.0
05,28,수,18:30,광주,키움,7.0,13.0,KIA,-1.0
05,29,목,18:30,잠실,한화,1.0,3.0,LG,-1.0
05,29,목,18:30,문학,NC,5.0,6.0,SSG,-1.0
05,29,목,18:30,대구,롯데,3.0,9.0,삼성,-1.0
05,29,목,18:30,수원,두산,2.0,12.0,KT,-1.0
05,29,목,18:30,광주,키움,3.0,3.0,KIA,0.0
05,30,금,18:30,잠실,삼성,4.0,3.0,LG,1.0
05,30,금,18:30,사직,SSG,5.0,6.0,롯데,-1.0
05,30,금,18:30,창원,한화,7.0,1.0,NC,1.0
05,30,금,18:30,수원,KIA,1.0,3.0,KT,-1.0
05,30,금,18:30,고척,두산,9.0,4.0,키움,1.0
05,31,토,14:00,창원,한화,9.0,6.0,NC,1.0
05,31,토,14:00,수원,KIA,1.0,5.0,KT,-1.0
05,31,토,17:00,잠실,삼성,4.0,2.0,LG,1.0
05,31,토,17:00,사직,SSG,4.0,1.0,롯데,1.0
05,31,토,17:00,고척,두산,0.0,1.0,키움,-1.0
06,01,일,14:00,고척,두산,0.0,1.0,키움,-1.0
06,01,일,17:00,잠실,삼성,6.0,4.0,LG,1.0
06,01,일,17:00,사직,SSG,4.0,3.0,롯데,1.0
06,01,일,17:00,창원,한화,5.0,16.0,NC,-1.0
06,01,일,17:00,수원,KIA,5.0,3.0,KT,1.0
06,03,화,14:00,창원,LG,15.0,0.0,NC,1.0
06,03,화,14:00,대전(신),KT,1.0,10.0,한화,-1.0
06,03,화,17:00,잠실,KIA,11.0,3.0,두산,1.0
06,03,화,17:00,문학,삼성,4.0,6.0,SSG,-1.0
06,03,화,17:00,사직,키움,0.0,8.0,롯데,-1.0
06,04,수,18:30,잠실,KIA,8.0,3.0,두산,1.0
06,04,수,18:30,문학,삼성,1.0,4.0,SSG,-1.0
06,04,수,18:30,사직,키움,9.0,6.0,롯데,1.0
06,04,수,18:30,창원,LG,5.0,6.0,NC,-1.0
06,04,수,18:30,대전(신),KT,3.0,4.0,한화,-1.0
06,05,목,18:30,잠실,KIA,1.0,2.0,두산,-1.0
06,05,목,18:30,문학,삼성,3.0,1.0,SSG,1.0
06,05,목,18:30,사직,키움,10.0,5.0,롯데,1.0
06,05,목,18:30,창원,LG,3.0,1.0,NC,1.0
06,05,목,18:30,대전(신),KT,7.0,0.0,한화,1.0
06,06,금,17:00,잠실,롯데,2.0,5.0,두산,-1.0
06,06,금,17:00,대구,NC,3.0,7.0,삼성,-1.0
06,06,금,17:00,수원,SSG,3.0,10.0,KT,-1.0
06,06,금,17:00,광주,한화,2.0,3.0,KIA,-1.0
06,06,금,17:00,고척,LG,1.0,2.0,키움,-1.0
06,07,토,17:00,잠실,롯데,9.0,4.0,두산,1.0
06,07,토,17:00,대구,NC,11.0,7.0,삼성,1.0
06,07,토,17:00,수원,SSG,2.0,3.0,KT,-1.0
06,07,토,17:00,광주,한화,3.0,2.0,KIA,1.0
06,07,토,17:00,고척,LG,1.0,4.0,키움,-1.0
06,08,일,14:00,고척,LG,7.0,2.0,키움,1.0
06,08,일,17:00,잠실,롯데,4.0,2.0,두산,1.0
